Year,Parish,Location of Shelter,Value
2018,Kingston and St Andrew,School,101.0
2018,Kingston and St Andrew,Church,6.0
2018,Kingston and St Andrew,Community Centre,5.0
2018,Kingston and St Andrew,Other,0.0
2018,Kingston and St Andrew,Total,112.0
2018,St Thomas,School,45.0
2018,St Thomas,Church,4.0
2018,St Thomas,Community Centre,3.0
2018,St Thomas,Other,0.0
2018,St Thomas,Total,52.0
2018,Portland,School,52.0
2018,Portland,Church,28.0
2018,Portland,Community Centre,1.0
2018,Portland,Other,2.0
2018,Portland,Total,8.0
2018,St Mary,School,61.0
2018,St Mary,Church,9.0
2018,St Mary,Community Centre,1.0
2018,St Mary,Other,0.0
2018,St Mary,Total,71.0
2018,St Ann,School,75.0
2018,St Ann,Church,0.0
2018,St Ann,Community Centre,3.0
2018,St Ann,Other,0.0
2018,St Ann,Total,78.0
2018,Trelawny,School,43.0
2018,Trelawny,Church,47.0
2018,Trelawny,Community Centre,
2018,Trelawny,Other,1.0
2018,Trelawny,Total,97.0
2018,St James,School,45.0
2018,St James,Church,18.0
2018,St James,Community Centre,4.0
2018,St James,Other,0.0
2018,St James,Total,67.0
2018,Hanover,School,42.0
2018,Hanover,Church,8.0
2018,Hanover,Community Centre,3.0
2018,Hanover,Other,1.0
2018,Hanover,Total,54.0
2018,Westmoreland,School,67.0
2018,Westmoreland,Church,20.0
2018,Westmoreland,Community Centre,2.0
2018,Westmoreland,Other,1.0
2018,Westmoreland,Total,90.0
2018,St Elizabeth,School,80.0
2018,St Elizabeth,Church,2.0
2018,St Elizabeth,Community Centre,4.0
2018,St Elizabeth,Other,0.0
2018,St Elizabeth,Total,86.0
2018,Manchester,School,55.0
2018,Manchester,Church,2.0
2018,Manchester,Community Centre,9.0
2018,Manchester,Other,0.0
2018,Manchester,Total,66.0
2018,Clarendon,School,85.0
2018,Clarendon,Church,0.0
2018,Clarendon,Community Centre,8.0
2018,Clarendon,Other,0.0
2018,Clarendon,Total,93.0
2018,St Catherine,School,51.0
2018,St Catherine,Church,7.0
2018,St Catherine,Community Centre,4.0
2018,St Catherine,Other,0.0
2018,St Catherine,Total,62.0
2018,Jamaica,School,802.0
2018,Jamaica,Church,151.0
2018,Jamaica,Community Centre,53.0
2018,Jamaica,Other,5.0
2018,Jamaica,Total,1011.0
